城市,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
成都市,130.0,174.0,233.0,307.0,374.0,453.0,571.0,668.0,790.0,937.0,1173.0,1427.0,1721.0,2116.0,2767.0,3559,4620,5941,7638,9712,13190,22205,32495,46282,60024,73782,87541,101300,115059,128818,142577
扬州市,9.0,22.0,29.0,34.0,44.0,54.0,65.0,76.0,86.0,102.0,118.0,146.0,170.0,199.0,238.0,304,378,492,638,820,1601,2331,2997,3677,4356,5035,5714,6393,7072,7751,8430
承德市,2.0,3.0,5.0,5.0,6.0,7.0,8.0,9.0,11.0,12.0,14.0,15.0,16.0,20.0,27.0,35,56,78,97,120,158,195,293,524,755,986,1217,1448,1679,1910,2141
抚州市,,1.0,1.0,1.0,1.0,1.0,3.0,6.0,7.0,10.0,12.0,19.0,24.0,29.0,39.0,55,74,106,153,205,448,713,984,1280,1576,1872,2168,2464,2760,3056,3352
抚顺市,,,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,6.0,9.0,10.0,12.0,16.0,27,37,48,77,124,261,466,596,704,812,920,1028,1136,1244,1352,1460
揭阳市,4.0,6.0,7.0,7.0,8.0,8.0,9.0,12.0,14.0,19.0,20.0,22.0,25.0,31.0,35.0,41,51,66,87,118,156,286,384,548,695,847,1000,1153,1305,1458,1610
攀枝花市,,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,8.0,10.0,11.0,15.0,23.0,31,44,64,79,108,145,229,283,348,411,474,538,601,664,727,790
新乡市,4.0,7.0,8.0,12.0,14.0,21.0,23.0,27.0,30.0,35.0,40.0,46.0,58.0,64.0,80.0,104,139,185,258,339,492,969,1372,1806,2238,2671,3103,3536,3968,4401,4833
新余市,,,1.0,2.0,2.0,3.0,3.0,5.0,5.0,6.0,10.0,12.0,19.0,25.0,32.0,38,51,67,91,127,250,399,541,710,879,1048,1217,1386,1555,1724,1893
无锡市,42.0,61.0,80.0,108.0,134.0,156.0,190.0,219.0,255.0,316.0,363.0,429.0,506.0,584.0,725.0,921,1150,1449,1790,2243,3744,5749,7504,9513,11518,13524,15530,17536,19542,21548,23554
日照市,2.0,3.0,3.0,7.0,13.0,16.0,23.0,26.0,29.0,37.0,46.0,67.0,77.0,101.0,133.0,169,238,302,407,574,884,1409,1959,2521,3083,3645,4207,4769,5331,5893,6455
昆明市,45.0,53.0,67.0,88.0,109.0,137.0,178.0,205.0,246.0,310.0,374.0,452.0,535.0,671.0,866.0,1123,1379,1693,2065,2523,3235,4725,7380,14371,21303,28256,35210,42163,49117,56070,63024
昭通市,,,,1.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,10.0,12.0,12.0,16.0,24,32,51,68,90,119,211,329,473,617,761,905,1049,1193,1337,1481
