城市,教育支出_z,科技支出_z,注销_z,风险评分,聚类类别,动态预警,风险评分增长率,注销增长率,最新风险评分,残差,风险等级
崇左市,-1.2335811384723961e-15,0.0,-9.868649107779169e-17,9.868649107779169e-17,2,黄色预警,0.902984973599132,0.6363636363636365,1.3588930578713316,-1.578983857244667e-15,中风险
衡水市,-4.6876083261951055e-16,-9.868649107779169e-17,-4.9343245538895844e-17,0.0,2,无预警,0.6341316249383078,0.35593220338983045,1.5410473503797117,-2.7632217501781674e-15,中风险
蚌埠市,3.4540271877227093e-16,2.4671622769447924e-16,0.0,-7.401486830834377e-17,0,无预警,1.549675918078146,0.8461538461538463,1.5894201768039449,0.0,中风险
眉山市,-9.868649107779169e-17,-1.9737298215558337e-16,-4.9343245538895844e-17,2.4671622769447922e-17,1,橙色预警,10.081863495284484,1.4249999999999998,1.3262314960495856,-1.0263395072090336e-14,中风险
南通市,6.41462192005646e-16,-4.9343245538895844e-17,9.868649107779169e-17,0.0,0,黄色预警,0.9209336569692328,0.5,1.4752204196455816,2.0132044179869506e-14,中风险
石家庄市,1.4802973661668753e-16,-4.9343245538895844e-17,0.0,2.4671622769447922e-17,1,橙色预警,2.2499063870382066,1.0153846153846153,1.6661949673843752,-9.473903143468002e-15,中风险
南昌市,0.0,-2.0970879354030734e-16,0.0,4.9343245538895844e-17,1,无预警,1.5008900854529452,0.7641509433962264,1.671688072245526,1.8947806286936004e-14,中风险
南平市,-4.194175870806147e-16,1.2335811384723962e-16,-2.4671622769447922e-17,0.0,2,无预警,0.8828935919766108,0.4329896907216495,1.3241100250279298,-3.157967714489334e-15,中风险
南宁市,2.220446049250313e-16,9.868649107779169e-17,0.0,-4.9343245538895844e-17,0,黄色预警,1.1815815619010848,0.5155440414507773,1.5886658472758857,9.473903143468002e-15,中风险
十堰市,3.9474596431116675e-16,-7.401486830834377e-17,-4.9343245538895844e-17,-4.9343245538895844e-17,0,黄色预警,2.204919550920387,0.8913043478260869,1.592877094395103,0.0,中风险
肇庆市,-7.401486830834377e-17,1.4802973661668753e-16,0.0,2.4671622769447922e-17,1,无预警,0.2687673790068521,0.15094339622641506,1.5142012717700828,-3.157967714489334e-15,中风险
北海市,3.7007434154171886e-16,-1.1102230246251565e-16,9.868649107779169e-17,2.4671622769447922e-17,0,黄色预警,0.48536780343628916,0.30000000000000004,1.4718456741335149,-1.578983857244667e-15,中风险
舟山市,-2.713878504639272e-16,-1.4802973661668753e-16,4.9343245538895844e-17,9.868649107779169e-17,1,黄色预警,1.1668815707715359,0.6511627906976745,1.3730951344393594,-3.9474596431116675e-16,中风险
北京市,3.20731096002823e-16,1.4802973661668753e-16,0.0,-2.4671622769447922e-17,0,橙色预警,10.423651369009091,2.473444613050076,1.8907668544200231,-2.5263741715914674e-13,中风险
苏州市,-1.9737298215558337e-16,0.0,-9.868649107779169e-17,-2.4671622769447922e-17,1,黄色预警,0.7190039088184885,0.4693333333333334,1.4597480771943616,-1.200027731505947e-13,中风险
茂名市,3.20731096002823e-16,-1.2335811384723962e-16,0.0,-2.4671622769447922e-17,0,无预警,0.5662852351797616,0.3137254901960784,1.6634343809074166,4.342205607422835e-15,中风险
荆州市,-5.921189464667501e-16,-7.401486830834377e-17,0.0,4.9343245538895844e-17,2,黄色预警,0.6656967038903341,0.3913043478260869,1.424323886355521,-7.105427357601002e-15,中风险
荆门市,2.4671622769447924e-16,1.9737298215558337e-16,9.868649107779169e-17,2.4671622769447922e-17,0,黄色预警,1.467687474182783,0.8695652173913044,1.6052952018320314,-1.578983857244667e-15,中风险
包头市,8.388351741612294e-16,-1.9737298215558337e-16,9.868649107779169e-17,0.0,0,橙色预警,1.9063817621885053,1.342857142857143,1.670137045454948,6.315935428978668e-15,中风险
伊春市,-1.1102230246251565e-16,0.0,6.344131569286608e-17,6.344131569286608e-17,1,橙色预警,5.778170284128473,2.0,1.5445509202668466,-4.0602442043434294e-15,中风险
萍乡市,-2.4671622769447924e-16,-3.9474596431116675e-16,0.0,4.9343245538895844e-17,1,橙色预警,-5.081350294258473,6.833333333333333,1.7055329030153972,-1.2631870857957336e-14,中风险
